timestamp, x, y, z
1.689068168539885056e+18,-4.360000000000000000e+02,-2.110000000000000000e+02,1.520000000000000000e+02
1.689068168539914240e+18,-4.550000000000000000e+02,-1.820000000000000000e+02,1.600000000000000000e+02
1.689068168539931904e+18,-4.470000000000000000e+02,-1.670000000000000000e+02,1.520000000000000000e+02
1.689068168539947264e+18,-4.420000000000000000e+02,-1.840000000000000000e+02,1.470000000000000000e+02
1.689068168539963648e+18,-4.520000000000000000e+02,-1.740000000000000000e+02,1.430000000000000000e+02
1.689068168539982080e+18,-4.170000000000000000e+02,-1.500000000000000000e+02,1.920000000000000000e+02
1.689068168539995136e+18,-4.280000000000000000e+02,-1.640000000000000000e+02,1.000000000000000000e+00
1.689068168540009728e+18,-4.320000000000000000e+02,-1.680000000000000000e+02,1.710000000000000000e+02
1.689068168540024320e+18,-4.330000000000000000e+02,-1.920000000000000000e+02,1.670000000000000000e+02
1.689068168540041216e+18,-4.080000000000000000e+02,-1.980000000000000000e+02,1.720000000000000000e+02
1.689068168540054528e+18,-4.230000000000000000e+02,-1.920000000000000000e+02,1.800000000000000000e+02
1.689068168540069376e+18,-4.880000000000000000e+02,-2.200000000000000000e+02,2.700000000000000000e+02
1.689068168540082176e+18,-4.680000000000000000e+02,-2.310000000000000000e+02,2.160000000000000000e+02
1.689068168540095232e+18,-4.820000000000000000e+02,-3.040000000000000000e+02,1.710000000000000000e+02
1.689068168540109824e+18,-4.390000000000000000e+02,-2.950000000000000000e+02,1.800000000000000000e+02
1.689068168540123392e+18,-4.310000000000000000e+02,-2.360000000000000000e+02,1.880000000000000000e+02
1.689068168540136448e+18,-4.020000000000000000e+02,-2.390000000000000000e+02,1.560000000000000000e+02
1.689068168540149504e+18,-4.200000000000000000e+02,-2.950000000000000000e+02,2.070000000000000000e+02
1.689068168540162560e+18,-4.450000000000000000e+02,-2.950000000000000000e+02,2.200000000000000000e+02
1.689068168540178688e+18,-4.240000000000000000e+02,-2.780000000000000000e+02,2.060000000000000000e+02
1.689068168540193792e+18,-3.910000000000000000e+02,-2.910000000000000000e+02,1.790000000000000000e+02
1.689068168540208384e+18,-3.280000000000000000e+02,-2.870000000000000000e+02,2.240000000000000000e+02
1.689068168540220928e+18,-2.930000000000000000e+02,-2.910000000000000000e+02,2.240000000000000000e+02
1.689068168540236800e+18,-2.950000000000000000e+02,-3.180000000000000000e+02,2.240000000000000000e+02
1.689068168540250112e+18,-3.110000000000000000e+02,-3.610000000000000000e+02,2.460000000000000000e+02
1.689068168540267008e+18,-2.960000000000000000e+02,-4.040000000000000000e+02,3.360000000000000000e+02
1.689068168540279808e+18,-3.130000000000000000e+02,-4.320000000000000000e+02,5.000000000000000000e+02
1.689068168540292608e+18,-2.880000000000000000e+02,-4.230000000000000000e+02,5.040000000000000000e+02
1.689068168540307712e+18,-2.040000000000000000e+02,-3.230000000000000000e+02,4.780000000000000000e+02
