timestamp, x, y, z
1.689068147316160000e+18,-2.000000000000000000e+02,-3.160000000000000000e+02,3.960000000000000000e+02
1.689068147316188160e+18,-1.990000000000000000e+02,-3.110000000000000000e+02,4.000000000000000000e+02
1.689068147316206336e+18,-2.080000000000000000e+02,-3.190000000000000000e+02,4.140000000000000000e+02
1.689068147316221184e+18,-2.000000000000000000e+02,-3.190000000000000000e+02,4.200000000000000000e+02
1.689068147316238080e+18,-2.080000000000000000e+02,-5.180000000000000000e+02,3.960000000000000000e+02
1.689068147316252416e+18,-2.000000000000000000e+02,-5.360000000000000000e+02,3.740000000000000000e+02
1.689068147316266496e+18,-1.810000000000000000e+02,-5.310000000000000000e+02,3.230000000000000000e+02
1.689068147316280320e+18,-1.460000000000000000e+02,-5.370000000000000000e+02,2.310000000000000000e+02
1.689068147316294656e+18,-4.900000000000000000e+01,-5.610000000000000000e+02,6.000000000000000000e+01
1.689068147316309248e+18,-1.500000000000000000e+01,-5.420000000000000000e+02,3.100000000000000000e+01
1.689068147316327424e+18,6.200000000000000000e+01,-4.510000000000000000e+02,1.000000000000000000e+00
1.689068147316341248e+18,6.200000000000000000e+01,-4.550000000000000000e+02,3.100000000000000000e+01
1.689068147316354560e+18,9.700000000000000000e+01,-4.350000000000000000e+02,5.400000000000000000e+01
1.689068147316368128e+18,1.310000000000000000e+02,-3.880000000000000000e+02,6.200000000000000000e+01
1.689068147316381440e+18,1.200000000000000000e+02,-3.960000000000000000e+02,9.900000000000000000e+01
1.689068147316394752e+18,1.370000000000000000e+02,-3.670000000000000000e+02,1.150000000000000000e+02
1.689068147316408320e+18,1.840000000000000000e+02,-4.250000000000000000e+02,1.130000000000000000e+02
1.689068147316422144e+18,2.440000000000000000e+02,-4.920000000000000000e+02,9.900000000000000000e+01
1.689068147316435456e+18,3.040000000000000000e+02,-5.350000000000000000e+02,7.100000000000000000e+01
1.689068147316448256e+18,3.100000000000000000e+02,-5.900000000000000000e+02,2.300000000000000000e+01
1.689068147316465664e+18,3.280000000000000000e+02,-6.110000000000000000e+02,2.400000000000000000e+01
1.689068147316479488e+18,2.380000000000000000e+02,-5.670000000000000000e+02,1.050000000000000000e+02
1.689068147316492800e+18,1.920000000000000000e+02,-4.870000000000000000e+02,1.670000000000000000e+02
1.689068147316506112e+18,2.870000000000000000e+02,-3.320000000000000000e+02,2.010000000000000000e+02
1.689068147316519424e+18,2.800000000000000000e+02,-4.170000000000000000e+02,2.360000000000000000e+02
1.689068147316532992e+18,2.760000000000000000e+02,-4.840000000000000000e+02,2.480000000000000000e+02
1.689068147316546048e+18,2.510000000000000000e+02,-3.770000000000000000e+02,2.240000000000000000e+02
1.689068147316559104e+18,2.460000000000000000e+02,-3.040000000000000000e+02,2.190000000000000000e+02
1.689068147316572160e+18,2.400000000000000000e+02,-2.540000000000000000e+02,2.700000000000000000e+02
1.689068147316585216e+18,2.060000000000000000e+02,-2.270000000000000000e+02,2.880000000000000000e+02
1.689068147316598784e+18,1.840000000000000000e+02,-1.360000000000000000e+02,2.570000000000000000e+02
1.689068147316613376e+18,1.770000000000000000e+02,2.000000000000000000e+00,2.800000000000000000e+02
1.689068147316626944e+18,1.920000000000000000e+02,1.160000000000000000e+02,3.510000000000000000e+02
1.689068147316640256e+18,1.720000000000000000e+02,2.230000000000000000e+02,4.200000000000000000e+02
1.689068147316653056e+18,1.720000000000000000e+02,3.280000000000000000e+02,4.870000000000000000e+02
1.689068147316666112e+18,1.670000000000000000e+02,3.970000000000000000e+02,5.200000000000000000e+02
1.689068147316679168e+18,1.590000000000000000e+02,4.480000000000000000e+02,5.310000000000000000e+02
1.689068147316691968e+18,1.470000000000000000e+02,4.680000000000000000e+02,5.050000000000000000e+02
1.689068147316704768e+18,1.370000000000000000e+02,5.010000000000000000e+02,4.230000000000000000e+02
1.689068147316718080e+18,1.450000000000000000e+02,5.520000000000000000e+02,3.450000000000000000e+02
1.689068147316731392e+18,1.420000000000000000e+02,4.970000000000000000e+02,3.350000000000000000e+02
1.689068147316744448e+18,1.510000000000000000e+02,3.920000000000000000e+02,3.910000000000000000e+02
1.689068147316757504e+18,1.790000000000000000e+02,3.540000000000000000e+02,3.340000000000000000e+02
1.689068147316770304e+18,2.190000000000000000e+02,4.340000000000000000e+02,2.270000000000000000e+02
1.689068147316783360e+18,2.200000000000000000e+02,4.840000000000000000e+02,1.670000000000000000e+02
1.689068147316796416e+18,1.920000000000000000e+02,4.310000000000000000e+02,2.490000000000000000e+02
1.689068147316809472e+18,1.980000000000000000e+02,3.920000000000000000e+02,2.230000000000000000e+02
1.689068147316822016e+18,2.090000000000000000e+02,4.120000000000000000e+02,1.120000000000000000e+02
1.689068147316834816e+18,1.920000000000000000e+02,4.050000000000000000e+02,8.400000000000000000e+01
1.689068147316847872e+18,1.360000000000000000e+02,3.300000000000000000e+02,2.540000000000000000e+02
1.689068147316861184e+18,1.360000000000000000e+02,3.290000000000000000e+02,2.840000000000000000e+02
1.689068147316873984e+18,1.900000000000000000e+02,3.010000000000000000e+02,2.700000000000000000e+02
1.689068147316887040e+18,1.990000000000000000e+02,2.980000000000000000e+02,2.270000000000000000e+02
1.689068147316904448e+18,1.760000000000000000e+02,3.250000000000000000e+02,1.850000000000000000e+02
1.689068147316917504e+18,1.990000000000000000e+02,3.220000000000000000e+02,1.470000000000000000e+02
1.689068147316930304e+18,2.200000000000000000e+02,3.130000000000000000e+02,1.400000000000000000e+02
1.689068147316943104e+18,2.270000000000000000e+02,3.110000000000000000e+02,1.420000000000000000e+02
1.689068147316956160e+18,2.380000000000000000e+02,3.600000000000000000e+02,1.450000000000000000e+02
1.689068147316969216e+18,2.440000000000000000e+02,3.610000000000000000e+02,1.400000000000000000e+02
1.689068147316982016e+18,2.640000000000000000e+02,3.560000000000000000e+02,1.390000000000000000e+02
1.689068147317004800e+18,2.860000000000000000e+02,3.490000000000000000e+02,1.120000000000000000e+02
1.689068147317018368e+18,2.910000000000000000e+02,3.610000000000000000e+02,1.420000000000000000e+02
1.689068147317031680e+18,2.840000000000000000e+02,3.920000000000000000e+02,1.520000000000000000e+02
1.689068147317045504e+18,3.030000000000000000e+02,4.150000000000000000e+02,1.520000000000000000e+02
1.689068147317058560e+18,3.070000000000000000e+02,3.880000000000000000e+02,1.420000000000000000e+02
1.689068147317073152e+18,3.320000000000000000e+02,3.920000000000000000e+02,1.470000000000000000e+02
1.689068147317086976e+18,3.350000000000000000e+02,3.920000000000000000e+02,1.600000000000000000e+02
1.689068147317100288e+18,3.430000000000000000e+02,3.770000000000000000e+02,1.590000000000000000e+02
1.689068147317113856e+18,3.360000000000000000e+02,3.650000000000000000e+02,1.420000000000000000e+02
1.689068147317127424e+18,3.270000000000000000e+02,3.600000000000000000e+02,1.320000000000000000e+02
1.689068147317140736e+18,3.450000000000000000e+02,3.640000000000000000e+02,1.240000000000000000e+02
1.689068147317153792e+18,3.670000000000000000e+02,3.560000000000000000e+02,1.130000000000000000e+02
1.689068147317166848e+18,3.790000000000000000e+02,3.880000000000000000e+02,1.180000000000000000e+02
1.689068147317179904e+18,3.610000000000000000e+02,3.860000000000000000e+02,1.190000000000000000e+02
1.689068147317192960e+18,3.520000000000000000e+02,3.680000000000000000e+02,1.310000000000000000e+02
1.689068147317206016e+18,3.550000000000000000e+02,3.560000000000000000e+02,1.190000000000000000e+02
1.689068147317219072e+18,3.660000000000000000e+02,3.510000000000000000e+02,1.120000000000000000e+02
1.689068147317234432e+18,3.680000000000000000e+02,3.360000000000000000e+02,9.400000000000000000e+01
1.689068147317248256e+18,3.590000000000000000e+02,3.330000000000000000e+02,9.400000000000000000e+01
1.689068147317262080e+18,3.590000000000000000e+02,3.190000000000000000e+02,7.900000000000000000e+01
1.689068147317275136e+18,3.590000000000000000e+02,2.900000000000000000e+02,5.100000000000000000e+01
1.689068147317290496e+18,3.680000000000000000e+02,2.970000000000000000e+02,7.000000000000000000e+00
1.689068147317304064e+18,3.590000000000000000e+02,2.740000000000000000e+02,-9.000000000000000000e+00
1.689068147317317888e+18,3.590000000000000000e+02,2.640000000000000000e+02,-2.300000000000000000e+01
1.689068147317331968e+18,3.510000000000000000e+02,2.450000000000000000e+02,-2.500000000000000000e+01
1.689068147317345536e+18,3.470000000000000000e+02,2.250000000000000000e+02,-2.600000000000000000e+01
1.689068147317359104e+18,3.550000000000000000e+02,2.170000000000000000e+02,-2.500000000000000000e+01
1.689068147317372416e+18,3.640000000000000000e+02,2.260000000000000000e+02,-2.900000000000000000e+01
1.689068147317385984e+18,3.740000000000000000e+02,2.240000000000000000e+02,-4.100000000000000000e+01
1.689068147317399040e+18,3.920000000000000000e+02,2.480000000000000000e+02,-7.100000000000000000e+01
