timestamp, x, y, z
1.689068017973061888e+18,-2.500000000000000000e+01,-1.840000000000000000e+02,2.410000000000000000e+02
1.689068017973089280e+18,2.400000000000000000e+01,-1.560000000000000000e+02,2.160000000000000000e+02
1.689068017973108480e+18,1.400000000000000000e+01,-2.000000000000000000e+02,4.940000000000000000e+02
1.689068017973124864e+18,-1.000000000000000000e+02,-3.510000000000000000e+02,4.790000000000000000e+02
1.689068017973144832e+18,-1.570000000000000000e+02,-3.350000000000000000e+02,5.180000000000000000e+02
1.689068017973160960e+18,-1.840000000000000000e+02,-3.080000000000000000e+02,2.520000000000000000e+02
1.689068017973176832e+18,-2.550000000000000000e+02,-3.400000000000000000e+02,4.120000000000000000e+02
1.689068017973190656e+18,-1.800000000000000000e+02,-2.720000000000000000e+02,4.230000000000000000e+02
1.689068017973203456e+18,-1.480000000000000000e+02,-2.840000000000000000e+02,4.700000000000000000e+02
1.689068017973217024e+18,-1.410000000000000000e+02,-3.450000000000000000e+02,4.550000000000000000e+02
1.689068017973230080e+18,-1.160000000000000000e+02,-3.710000000000000000e+02,4.140000000000000000e+02
1.689068017973242880e+18,-1.000000000000000000e+02,-3.390000000000000000e+02,3.910000000000000000e+02
1.689068017973255424e+18,-9.800000000000000000e+01,-3.360000000000000000e+02,4.080000000000000000e+02
1.689068017973267712e+18,-1.160000000000000000e+02,-3.510000000000000000e+02,4.300000000000000000e+02
1.689068017973280256e+18,-1.430000000000000000e+02,-3.680000000000000000e+02,4.200000000000000000e+02
1.689068017973295360e+18,-1.600000000000000000e+02,-3.670000000000000000e+02,4.030000000000000000e+02
1.689068017973308416e+18,-1.680000000000000000e+02,-3.550000000000000000e+02,3.920000000000000000e+02
1.689068017973321728e+18,-1.680000000000000000e+02,-3.370000000000000000e+02,3.850000000000000000e+02
1.689068017973335296e+18,-1.800000000000000000e+02,-3.390000000000000000e+02,3.800000000000000000e+02
1.689068017973348352e+18,-1.910000000000000000e+02,-3.480000000000000000e+02,3.680000000000000000e+02
1.689068017973361664e+18,-1.960000000000000000e+02,-3.550000000000000000e+02,3.450000000000000000e+02
1.689068017973374464e+18,-1.780000000000000000e+02,-3.600000000000000000e+02,3.420000000000000000e+02
1.689068017973387776e+18,-1.720000000000000000e+02,-3.670000000000000000e+02,3.500000000000000000e+02
1.689068017973400832e+18,-1.750000000000000000e+02,-4.150000000000000000e+02,3.590000000000000000e+02
1.689068017973413888e+18,-1.760000000000000000e+02,-4.190000000000000000e+02,3.450000000000000000e+02
1.689068017973427200e+18,-1.830000000000000000e+02,-4.030000000000000000e+02,3.190000000000000000e+02
1.689068017973440256e+18,-1.760000000000000000e+02,-3.750000000000000000e+02,3.190000000000000000e+02
1.689068017973453312e+18,-1.760000000000000000e+02,-3.590000000000000000e+02,3.240000000000000000e+02
1.689068017973468160e+18,-1.760000000000000000e+02,-3.800000000000000000e+02,3.180000000000000000e+02
1.689068017973480960e+18,-1.810000000000000000e+02,-4.310000000000000000e+02,3.080000000000000000e+02
